No.,US,AC,Step,Title,Expectation,Priority
1,Scenario 1: Notification for Autoflow or Standard Program Ending (UC1.1),An "Active" client has an assigned Autoflow or Program with no follow-up items after the current phase,"1. Assign an Autoflow or Program to an Active client
2. Ensure no follow-up workouts, programs, studio programs, or Autoflows are scheduled after the current phase
3. Wait until 7 days before the last scheduled workout
4. Ensure the time is 9:00 AM in the Coach's configured timezone",Autoflow or Program ending with 7-day notification,"- SHOULD send an In-App Notification to the Coach Web and App
- SHOULD display message: ""{Client Name}'s program and last workout ends next week ({mmm dd}). Check to assign more workouts.""",High
2,Scenario 2: Notification for Individual Workouts (7-Day Warning) (UC1.3),An "Active" client has an individually assigned workout or On-Demand workout with no follow-up items,"1. Assign an individual workout or On-Demand workout to an Active client
2. Ensure no follow-up items are scheduled after this workout
3. Wait until 7 days before the last workout
4. Ensure the time is 9:00 AM in the Coach's configured timezone",Individual or On-Demand workout with 7-day notification,"- SHOULD send an In-App Notification to the Coach Web and App
- SHOULD display message: ""{Client Name}'s last workout is in 7 days ({mmm dd}). Check to assign more workouts.""",High
3,Scenario 3: Notification for Individual Workouts or Studio Programs (3-Day Warning) (UC1.2),An "Active" client has an assigned individual workout with notification enabled,"1. Assign an individual workout to an Active client
2. Ensure notification is enabled (default)
3. Ensure no follow-up items are scheduled after this workout
4. Wait until 3 days before the last workout
5. Ensure the time is 9:00 AM in the Coach's configured timezone",Individual workout with 3-day notification,"- SHOULD send an In-App Notification to the Coach Web and App
- SHOULD display message: ""{Client Name}'s last workout is in 3 days ({mmm dd}). Check to assign more workouts.""",High
4,,An "Active" client has a client-added workout with notification enabled,"1. Add a client-added workout for an Active client
2. Ensure notification is enabled (default)
3. Ensure no follow-up items are scheduled after this workout
4. Wait until 3 days before the last workout
5. Ensure the time is 9:00 AM in the Coach's configured timezone",Client-added workout with 3-day notification,"- SHOULD send an In-App Notification to the Coach Web and App
- SHOULD display message: ""{Client Name}'s last workout is in 3 days ({mmm dd}). Check to assign more workouts.""",High
5,,An "Active" client has a Studio Program with notification enabled,"1. Assign a Studio Program to an Active client
2. Ensure notification is enabled (default)
3. Ensure no follow-up items are scheduled after this program
4. Wait until 3 days before the last workout
5. Ensure the time is 9:00 AM in the Coach's configured timezone",Studio Program with 3-day notification,"- SHOULD send an In-App Notification to the Coach Web and App
- SHOULD display message: ""{Client Name}'s current studio program and last workout ends in 3 days ({mmm dd}).""",High
6,Scenario 4: User Interaction with Notification,A coach has received a "Workout phase ends" notification,"1. Receive a ""Workout phase ends"" notification as a coach
2. Click on the notification in the Web or App",Coach clicks notification on Web or App,"- SHOULD open the client's training calendar
- SHOULD focus on the specific week containing the last workout",High
7,Scenario 5: Mixed Content Priority (Conflict Resolution),The last day contains both an Individual Workout AND a Program/Autoflow workout,"1. Assign both an Individual Workout and a Program/Autoflow workout to the same last day
2. Wait until the trigger date approaches",Last day with mixed Individual and Program content,- SHOULD trigger only the 7-day notification logic (UC1.1),High
8,,,Last day with mixed Individual and Program content,- SHOULD suppress the 3-day notification usually sent for individual workouts,High
9,Scenario 6: Last Day Content Type Conflict (Case 6),The last scheduled day contains mixed types: On-Demand workout AND Individual assigned workout AND Studio Program workout,1. Schedule On-Demand workout, Individual assigned workout, and Studio Program workout on the same last day,Last day with On-Demand and Individual and Studio Program,- SHOULD use the Individual/On-Demand workout message format (not the Studio Program format),Medium
10,Scenario 7: Gap in Schedule (Case 1),A client has a Program ending on a specific date and a separate individual workout scheduled shortly after,"1. Assign a Program to a client ending on Nov 15
2. Schedule a separate individual workout on Nov 17",Program with gap and later individual workout,"- SHOULD ignore the Program end date
- SHOULD calculate the trigger based on the final individual workout (Nov 17)
- SHOULD send the notification 3 days prior to the final workout (Nov 14)",High
11,Scenario 8: Hidden Workouts (Case 4),The last workout in a phase is set to "Hidden" from the client,"1. Assign a workout to a client
2. Set the last workout to ""Hidden"" from the client
3. Wait until the notification trigger date",Last workout is hidden from client,"- SHOULD include this hidden workout in the count
- SHOULD trigger the notification based on the date of the hidden workout",Medium
12,Scenario 9: Coach Settings and Timezones (US2 & Case 2),The coach changes their timezone setting to a time that has already passed 9:00 AM for the current day,"1. Set a notification trigger for the current day at 9:00 AM
2. Change the coach's timezone to a time that has already passed 9:00 AM",Coach changes timezone after 9:00 AM,- SHOULD not resend the notification for the current day,Medium
13,,,Coach changes timezone after 9:00 AM,- SHOULD schedule the notification for the following days based on the new timezone,Medium
14,,The coach has toggled "Client's workout phase ends" to OFF in Notification Settings,"1. Assign a workout phase ending to a client
2. Toggle ""Client's workout phase ends"" to OFF in Notification Settings
3. Wait until the trigger date",Notification setting is OFF,- SHOULD not send any In-app or Push notifications,High
15,Scenario 10: Client Status Exclusions (Case 5),A client status is "Archived" and their workout phase is ending,"1. Assign a workout phase to a client
2. Change the client status to ""Archived""
3. Wait until the trigger date",Client status is Archived,- SHOULD not send any notification,High
16,,A client status is "Pending" and their workout phase is ending,"1. Assign a workout phase to a client
2. Change the client status to ""Pending""
3. Wait until the trigger date",Client status is Pending,- SHOULD not send any notification,High
