ID,Test Scenarios,,Items for Pivot Table,Step,Test Data,Expected
,US10. Book a session,,,,
US10-1,Open Book Session modal via CTA button,,US10 / AC1,"1. Navigate to Calendar page in Booking feature
2. Click on ""Book a session"" CTA button
3. Verify modal opens and layout renders
4. Verify focus trap is active","Admin/Owner logged in
Booking feature enabled
On Calendar page","- ""Book a session"" popup appears
- Background calendar is dimmed
- Modal contains: Trainer (disabled), Client, Start Date, Start Time, Type, Name, Duration, Location, Description, Add note, Book Session/Cancel buttons, X icon
- Focus is trapped inside modal
- Trainer defaults to WS Owner
- Start date defaults to today
- Start time defaults to 7:00 AM
- Location defaults to ""In-person"""
US10-2,Open Book Session modal via calendar Day view time slot click,,US10 / AC1,"1. Navigate to Calendar page (Day view)
2. Click on a blank time slot (6 AM-7 AM)
3. Verify modal opens with prefilled start time","Day view active
Blank time slot at 6 AM-7 AM","- ""Book a session"" popup opens
- Start date is prefilled with clicked date
- Start time is prefilled with 6:00 AM (start hour of slot)
- Other defaults apply as per AC1"
US10-3,Open Book Session modal via calendar Week view time slot click,,US10 / AC1,"1. Navigate to Calendar page (Week view)
2. Click on a blank time slot (9 AM-10 AM on Thursday)
3. Verify modal opens with prefilled start time","Week view active
Blank time slot at 9 AM-10 AM on Thursday","- ""Book a session"" popup opens
- Start date is prefilled with clicked date (Thursday date)
- Start time is prefilled with 9:00 AM
- Other defaults apply"
US10-4,Open Book Session modal via calendar Month view day click,,US10 / AC1,"1. Navigate to Calendar page (Month view)
2. Click on a blank date cell (e.g., Feb 15)
3. Verify modal opens","Month view active
Blank date cell","- ""Book a session"" popup opens
- Start date is prefilled with clicked date
- Start time defaults to 7:00 AM (no specific time from Month view)
- Other defaults apply"
US10-5,Search and select client by name,,US10 / AC2,"1. Open Book Session modal
2. Click on Client field
3. Type ""John"" in client search
4. Verify matching clients appear
5. Click on a matching client (e.g., ""John Smith"")","Modal open
Clients exist: ""John Smith (john@example.com)"", ""Jane Smith (jane@example.com)""
WS has clients with statuses: Active, Inactive, Pending, Archived, Waiting Activation
Client status filter: exclude Pending, Archived, Waiting Activation","- Searchable dropdown opens
- Dropdown displays matching clients (only active status)
- Results filtered by name match
- Each client shows: Profile image, name, email
- Search debounce working (200ms)
- Clicking client closes dropdown and populates Client field"
US10-6,Search and select client by email,,US10 / AC2,"1. Open Book Session modal
2. Click on Client field
3. Type ""jane@example.com"" in search
4. Verify client appears
5. Click to select","Clients exist with emails
Client: Jane Smith (jane@example.com)","- Dropdown filters by email match
- Jane Smith appears in results
- Dropdown closes on selection
- Client field populated with selected client"
US10-7,Search client with no results,,US10 / AC2,"1. Open Book Session modal
2. Click on Client field
3. Type ""Nonexistent"" in search
4. Verify message displays","Modal open
No clients match ""Nonexistent""","- Blank dropdown list appears
- Message displays: ""No clients found."""
US10-8,Client dropdown pagination,,US10 / AC2,"1. Open Book Session modal
2. Click on Client field
3. Verify first 20 clients load
4. Scroll down in dropdown
5. Verify next 20 clients load","WS has 50+ active clients
Sorted alphabetically","- First 20 clients load sorted A-Z
- Scrolling loads next batch
- Client list is paginated and sorted"
US10-9,Enter Start Date via keyboard input (mmm dd, yyyy format),,US10 / AC2,"1. Open Book Session modal
2. Click on Start Date field
3. Type ""Mar 15, 2026""
4. Press Enter
5. Verify date is applied and picker closes","Modal open
Start Date field focused","- Field text highlights (text selection)
- Input accepts: Mar 15, 2026
- Calendar picker updates to show Mar 15 highlighted
- Pressing Enter applies date and closes picker
- Start Date field displays: ""Mar 15, 2026"""
