ID,Test Scenarios,Empty,Items for Pivot Table,Step,Test Data,Expected
,"US10. As a coach, I can book a session for a client in the Workspace via ""Book Session"" CTA so that I can schedule a session with client",,,,,
US10-1,Open Book a session popup via CTA button and verify default fields,,US10 / AC1,"1. Navigate to the Calendar page with Booking feature enabled.
2. Click the ""Book a session"" CTA button.
3. Verify the ""Book a session"" popup appears.
4. Verify the background calendar is dimmed.
5. Verify focus is trapped inside the modal.
6. Verify all fields are present with correct defaults.","Logged in as Owner/Admin.
Booking feature enabled.
Current date: today.","- ""Book a session"" popup opens.
- Background calendar is dimmed.
- Focus is trapped inside the modal.
- Popup title is ""Book a session"".
- Trainer field is disabled and shows WS Owner.
- Start Date defaults to today.
- Start Time defaults to 7:00 AM.
- Location defaults to ""In-person"".
- Duration defaults to 30 min.
- Fields present: Client (required), Start Date (required), Start Time (required), Type (optional), Name (required), Duration (required), Location (required), Description (optional), Add note to client (optional).
- CTA buttons ""Book Session"" and ""Cancel"" are visible.
- Close (x) icon is visible."
US10-2,Open popup by clicking a time slot on Day/Week view and verify date/time prefill,,US10 / AC1,"1. Navigate to Calendar page on Day view.
2. Click the 6:00 AM–7:00 AM time slot.
3. Verify ""Book a session"" popup opens.
4. Verify prefilled Start Date and Start Time.
5. Switch to Week view.
6. Click the 9:00 AM–10:00 AM slot on a future date.
7. Verify prefilled Start Date and Start Time.","Logged in as Owner.
Day view: click on 6 AM slot.
Week view: click on 9 AM slot on next Monday.","- Day view: popup opens with Start Date = clicked date, Start Time = 6:00 AM.
- Week view: popup opens with Start Date = clicked date, Start Time = 9:00 AM.
- All other defaults unchanged."
US10-3,Open popup by clicking a time slot on Month view and verify date prefill,,US10 / AC1,"1. Navigate to Calendar page on Month view.
2. Click on a date cell (e.g., March 15).
3. Verify ""Book a session"" popup opens.
4. Verify prefilled Start Date.","Logged in as Owner.
Month view: click on March 15.","- Popup opens with Start Date = March 15.
- Start Time defaults to 7:00 AM (no time prefill from Month view click).
- All other defaults unchanged."
US10-4,"Client field — open dropdown, display clients, scroll pagination",,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the Client field.
3. Verify dropdown opens with client list.
4. Verify excluded statuses are absent.
5. Verify sorting is alphabetical.
6. Scroll to the bottom of the initial 20 results.
7. Verify the next 20 clients load.","WS has >20 clients including some with Pending, Archived, and Waiting Activation status.","- Dropdown opens with searchable client list.
- Clients with Pending, Archived, or Waiting Activation status are NOT shown.
- Clients are sorted alphabetically by name.
- First 20 clients load initially.
- Scrolling loads the next 20 clients.
- Each client item shows: Profile image, Client name, Client email."
US10-5,"Client field — search by name, search by email, and no results",,US10 / AC2,"1. Open ""Book a session"" popup and click Client field.
2. Type a partial client name (e.g., ""Joh"").
3. Verify search triggers after ~200ms and filters list.
4. Clear input, type a partial client email (e.g., ""john@"").
5. Verify filtered results by email.
6. Clear input, type ""zzznomatch999"".
7. Verify no-result state.","Search by name: ""Joh"" (matches John Doe).
Search by email: ""john@"" (matches john@example.com).
No result query: ""zzznomatch999"".","- After typing name query, list updates after ~200ms showing only matching clients.
- After typing email query, list updates showing matching clients.
- Selecting a client closes the dropdown.
- When no clients match, dropdown shows ""No clients found."" message.
- Dropdown list is blank (no client items) on no-result state."
US10-6,Start Date field — keyboard input with valid and invalid month values,,US10 / AC2,"1. Open popup and click Start Date field.
2. Verify field value is highlighted (selected).
3. Type ""Mar"" — verify calendar picker hovers on Mar 1 of current year.
4. Type ""Mar 15"" — verify calendar hovers on Mar 15 current year.
5. Type ""Mar 15, 2027"" — verify calendar hovers on Mar 15, 2027.
6. Type invalid month ""Xyz"" — verify calendar keeps previous hover date.
7. Press Enter — verify date is applied and picker closes.","Keyboard inputs: ""Mar"", ""Mar 15"", ""Mar 15, 2027"", ""Xyz"".
WS created in 2022; current year is 2026.","- Clicking Start Date highlights the current value.
- Typing ""Mar"" → calendar picker hovers on Mar 1, current year.
- Typing ""Mar 15"" → calendar hovers on Mar 15, current year.
- Typing ""Mar 15, 2027"" → calendar hovers on Mar 15, 2027.
- Typing invalid month ""Xyz"" → calendar keeps previous hover date.
- Pressing Enter applies the input value and closes the calendar picker."
US10-7,"Start Date field — date picker open, out-of-range date hover shows stop icon",,US10 / AC2,"1. Open popup and click Start Date field.
2. Verify the calendar picker opens.
3. Verify the currently selected date is visually highlighted.
4. Hover over a date before the WS creation date.
5. Verify the stop icon appears.
6. Hover over a date more than 1 year from today.
7. Verify the stop icon appears.
8. Select an in-range date.
9. Verify date is applied.","WS created in 2022.
Out-of-range dates: 2021-01-01 and {today + 2 years}.","- Calendar picker opens when clicking Start Date.
- Currently selected date is visually highlighted.
- Hovering over a date before WS creation date shows a ""stop"" icon.
- Hovering over a date >1 year from today shows a ""stop"" icon.
- Selecting an in-range date applies it and closes the picker.
- Past, present, and future in-range dates are all selectable."
US10-8,Start Time field — keyboard input and dropdown with timezone display,,US10 / AC2,"1. Open popup and click Start Time field.
2. Verify field value is highlighted and coach's timezone is shown.
3. Verify dropdown displays time slots in 15-minute increments.
4. Type ""09:30 AM"" — verify matching option is highlighted in dropdown.
5. Press Enter — verify time is applied and dropdown closes.
6. Click outside the dropdown — verify dropdown closes and value is applied.","Coach timezone: UTC+7.
Typed value: ""09:30 AM"".","- Clicking Start Time highlights the current value.
- Coach's timezone (e.g., UTC+7) is displayed in the field.
- Dropdown shows time slots in 15-minute increments (12:00 AM, 12:15 AM, ...).
- Typing ""09:30 AM"" highlights 9:30 AM option in the dropdown (hover state).
- Pressing Enter applies ""09:30 AM"" and closes the dropdown.
- Clicking outside applies value and closes dropdown."
US10-9,Name field — input session name manually (Custom mode),,US10 / AC2,"1. Open popup without selecting a session type.
2. Verify Name field is visible and editable.
3. Type a session name (e.g., ""Morning Run"").
4. Verify the session name is displayed in the field.","No session type selected.
Session name: ""Morning Run"".","- Name field is visible and editable in Custom mode.
- Typed session name ""Morning Run"" is displayed in the Name field."
