No.,US,AC,Step,Title,Expectation,Priority
1,US1: Save and quickly insert predefined responses in chats,AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation
3. Observe the Editor nav
4. Verify Saved Responses button",Button position next to GIF button,- SHOULD display a Saved Responses button next to the GIF button in Editor nav,High
2,,,"1. Hover over the Saved Responses button
2. Verify tooltip",Tooltip on hover,"- SHOULD show tooltip: ""Saved Responses""",Medium
3,,AC2: Saved Response popup,"1. Click the Saved Responses button
2. Verify modal",Modal opens on button click,- SHOULD display Saved Responses modal,High
4,,,"1. Press Ctrl/Cmd+K shortcut
2. Verify modal",Modal opens on shortcut,- SHOULD display Saved Responses modal,High
5,,,"1. Open Saved Responses modal
2. Verify modal elements","Modal contains X button, Search box, + Create new button","- SHOULD contain X button
- SHOULD contain Search box
- SHOULD contain + Create New button in top-right corner",High
6,,,"1. Open Saved Responses modal (no saved responses)
2. Verify empty state",Empty state display,"- SHOULD display an image
- SHOULD display text: ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",Medium
7,,,"1. Open Saved Responses modal (has saved responses)
2. Verify FREQUENTLY USED section",FREQUENTLY USED section hidden when none,- SHOULD hide FREQUENTLY USED section when user has no usage history,Medium
8,,,,FREQUENTLY USED shows top 5 most-used,"- SHOULD show up to top 5 most-used responses, sorted by usage_count descending
- SHOULD sort by title A-Z when usage_count is equal",High
9,,,,FREQUENTLY USED shows all when fewer than 5,- SHOULD show all available responses when fewer than 5 exist,Medium
10,,,"1. Open Saved Responses modal (has saved responses)
2. Verify ALL section",ALL section lists responses A-Z,- SHOULD list all saved responses sorted by title A-Z,High
11,,,"1. Open Saved Responses modal (has saved responses)
2. Verify default selection",First saved response selected by default,"- SHOULD select first saved response in list by default
- SHOULD show its title and message detail on the right-side panel",High
12,,,"1. Open Saved Responses modal
2. Press Up/Down arrow keys
3. Verify navigation",Arrow-key navigation between responses,- SHOULD move selection Up/Down between responses in the list,High
13,,,"1. Open Saved Responses modal (has saved responses)
2. Hover over a response title in the list
3. Verify right panel",Hover title shows message detail,- SHOULD update the right-side panel to show the hovered response's title and message detail,Medium
14,,,"1. Open Saved Responses modal
2. Observe right-side panel for a long message
3. Verify scrolling",Long message scrollable,- SHOULD allow scrolling when the message detail is long,Medium
15,,,"1. Open Saved Responses modal
2. Hover over the message detail on right panel
3. Verify 3-dot button",3-dot button on message detail hover,- SHOULD show 3-dot button when hovering over the message detail,Medium
16,,,"1. Open Saved Responses modal (has >20 saved responses)
2. Scroll down in the list
3. Verify pagination",Pagination loads 20 items on scroll,"- SHOULD load 20 items initially
- SHOULD display Load more and load next 20 items on scroll",Medium
17,,,"1. Open Saved Responses modal
2. Observe footer",Footer shortcuts displayed,"- SHOULD show shortcuts: ""↑↓ to navigate"", ""↵ to select"", ""Esc to close""",Low
18,,,"1. Open Saved Responses modal
2. Click X button / press Esc
3. Verify modal",X button / Esc closes modal,- SHOULD close the Saved Responses modal,High
19,,,"1. Hover over + Create New button
2. Verify display",+ Create New button hover display,"- SHOULD display as ""+ Create New"" on hover",Low
20,,AC3: Search box behaviors,"1. Open Saved Responses modal
2. Observe Search box
3. Verify default state",Search box default state,"- SHOULD be empty with placeholder: ""Search saved response""",Medium
21,,,"1. Click / focus the Search box
2. Verify placeholder",Placeholder changes on focus,"- SHOULD change placeholder to ""Enter keyword...""",Low
22,,,"1. Type text in Search box
2. Verify X icon",X icon shown while typing,- SHOULD display X icon when text is inputted,Medium
23,,,"1. Type text in Search box
2. Clear via backspace or click X icon
3. Verify list",Clear search restores full list,- SHOULD remove search input and show the full saved response list,High
24,,,"1. Type 1 character in Search box
2. Verify search triggers",Search starts from 1 character,- SHOULD start searching and return results from 1 character input,High
25,,,"1. Search for a keyword matching title or message (different case / partial)
2. Verify results",Case-insensitive partial search on title and message,"- SHOULD return all responses where title or message contains the keyword (case-insensitive, partial match)",High
26,,,"1. Search for a keyword with no matching results
2. Verify empty results state",No results state,"- SHOULD display an image
- SHOULD display text: ""Search results (0)""",Medium
27,,,"1. Search for a keyword with matching results
2. Verify results display",Matching results count and list,"- SHOULD show ""Search results ({number_of_matched_results})"" below Search box
- SHOULD show matching responses list same as AC2
- SHOULD select first result by default",High
28,,,"1. Search with >20 matching results
2. Scroll down
3. Verify pagination",Pagination in search results,"- SHOULD load 20 items initially
- SHOULD display Load more and load next 20 items on scroll",Medium
29,,AC4: 3-dot button behaviors,"1. Open Saved Responses modal
2. Hover over a saved response message detail
3. Click 3-dot button
4. Verify submenu",3-dot submenu options,"- SHOULD show submenu with options: Edit response, Delete response",High
30,,AC5: Add a new saved response,"1. Open Saved Responses modal
2. Click + Create New button
3. Verify popup",Create Saved Response popup opens,"- SHOULD display Create Saved Response popup with title ""Create Saved Response""",High
31,,,"1. Open Create Saved Response popup
2. Verify popup elements","Popup contains X, TITLE field, MESSAGE field, Cancel, Save","- SHOULD contain [X] button
- SHOULD contain TITLE field
- SHOULD contain MESSAGE field
- SHOULD contain Cancel button (always enabled)
- SHOULD contain Save button (disabled by default)",High
32,,,"1. Hover over (info) icon next to TITLE field
2. Verify tooltip",TITLE info icon tooltip,"- SHOULD show tooltip: ""Used to organize responses. This won't appear in messages..""",Low
33,,,"1. Observe TITLE field
2. Verify default state",TITLE field default state,"- SHOULD be empty with placeholder: ""Name this response for easy search""",Medium
34,,,"1. Type 140 characters in TITLE field
2. Try to type more
3. Verify field",TITLE max 140 characters enforced,- SHOULD not allow input beyond 140 characters,High
35,,,"1. Paste text longer than 140 characters into TITLE field
2. Verify field content",TITLE paste truncates to 140 characters,- SHOULD paste only the first 140 characters,High
36,,,"1. Observe MESSAGE field
2. Verify default state",MESSAGE field default state,"- SHOULD be empty with placeholder: ""Write the full message you want to send to clients""",Medium
37,,,"1. Type in MESSAGE field
2. Verify character count",MESSAGE character count shown,"- SHOULD show character count as ""{X}/10000""",Medium
38,,,"1. Type 10,000 characters in MESSAGE field
2. Try to type more
3. Verify field","MESSAGE max 10,000 characters enforced","- SHOULD not allow input beyond 10,000 characters",High
39,,,"1. Paste text longer than 10,000 characters into MESSAGE field
2. Verify field content","MESSAGE paste truncates to 10,000 characters","- SHOULD paste only the first 10,000 characters",High
40,,,"1. Paste text with formatting into MESSAGE field
2. Verify content",MESSAGE clears formatting on paste,- SHOULD strip text formatting from pasted text,High
41,,,"1. Leave TITLE or MESSAGE field empty
2. Verify Save button state",Save button disabled when fields incomplete,- SHOULD keep Save button disabled when TITLE or MESSAGE is empty,High
42,,,"1. Fill both TITLE and MESSAGE fields
2. Verify Save button state",Save button enabled when both fields filled,- SHOULD enable Save button when both TITLE and MESSAGE have input,High
43,,,"1. Fill both fields
2. Click Save button
3. Verify result",Save creates new saved response with toast,"- SHOULD add new saved response to the list
- SHOULD display toast: ""New Saved Response created.""",Critical
44,,,"1. Open Create Saved Response popup
2. Click Cancel button / X button
3. Verify popup",Cancel / X closes popup,- SHOULD close the Create Saved Response popup,High
45,,AC6: Edit a saved response,"1. Open Saved Responses modal
2. Click 3-dot button on a response
3. Click Edit response
4. Verify popup",Edit Saved Response popup opens,"- SHOULD display Edit Saved Response popup with title ""Edit Saved Response""",High
46,,,"1. Open Edit Saved Response popup
2. Verify pre-populated fields",Fields pre-populated with existing data,"- SHOULD pre-populate TITLE field with existing title
- SHOULD pre-populate MESSAGE field with existing message",High
47,,,"1. Make no changes in Edit popup
2. Click X button
3. Verify popup",X closes popup without changes,- SHOULD close the Edit Saved Response popup,High
48,,,"1. Make a change in Edit popup
2. Click X button
3. Verify Discard Changes popup",X with changes shows Discard Changes popup,"- SHOULD show Discard Changes popup with title ""Discard Changes?""
- SHOULD show text: ""Are you sure you want to go? Changes have not been saved yet.""",High
49,,,"1. Discard Changes popup is shown
2. Click Cancel button or X icon
3. Verify popup",Cancel / X on Discard Changes closes it,- SHOULD close the Discard Changes popup and return to Edit popup,High
50,,,"1. Discard Changes popup is shown
2. Click Discard Changes button
3. Verify behavior",Discard Changes discards edits,- SHOULD close Discard Changes popup and Edit popup without saving changes,High
51,,,"1. Make no changes in Edit popup
2. Click Cancel button
3. Verify popup",Cancel closes popup without changes,- SHOULD close the Edit Saved Response popup,High
52,,,"1. Make a change in Edit popup
2. Click Cancel button
3. Verify Discard Changes popup",Cancel with changes shows Discard Changes popup,- SHOULD show Discard Changes popup (same as X button behavior),High
53,,,"1. Edit both fields
2. Click Save button
3. Verify result",Save updates response with toast,"- SHOULD save new changes for the response
- SHOULD display toast: ""Saved Response updated successfully.""",Critical
54,,AC7: Delete a saved response,"1. Open Saved Responses modal
2. Click 3-dot button on a response
3. Click Delete response
4. Verify confirmation popup",Delete confirmation popup shown,"- SHOULD display confirmation popup with title ""Delete Response?""
- SHOULD display text: ""This response will be permanently deleted and can't be recovered.<br>Are you sure you want to proceed?""",High
55,,,"1. Delete confirmation popup is shown
2. Click Cancel button
3. Verify popup",Cancel closes delete popup,- SHOULD close the confirmation popup without deleting,High
56,,,"1. Delete confirmation popup is shown
2. Click OK button
3. Verify result",OK deletes response with toast,"- SHOULD close the popup, delete the response, and display toast: ""Saved Response deleted.""",Critical
57,,AC8: Add saved response to chat box,"1. Open Saved Responses modal
2. Click title of a saved response item / press Enter
3. Verify chatbox",Click title / Enter appends message to chatbox,"- SHOULD append the full message content into the chatbox, placed behind current text (if any)",Critical
58,US2: Create a saved response from a message in the conversation,AC1: Add Save this response button to Coach's non-text message,"1. Login as Coach (Pro/Studio plan workspace)
2. Open a conversation
3. Hover over a non-text message of the Coach
4. Verify bookmark button",Bookmark button shown on hover (paid plan),- SHOULD display a bookmark button between 3-dot and Reply buttons for the non-text message,High
59,,,"1. Hover over the bookmark button
2. Verify tooltip",Bookmark button tooltip,"- SHOULD show tooltip: ""Saved this response""",Low
60,,,"1. Login as Coach (free/no Saved Response plan workspace)
2. Hover over a non-text message of the Coach
3. Verify bookmark button",Bookmark button hidden on non-qualifying plan,- SHOULD NOT display bookmark button when workspace does not include Saved Response feature,High
61,,AC2: Add new saved response from the conversation,"1. Click bookmark button on a Coach message
2. Verify popup",Add To Saved Responses popup opens,"- SHOULD display the Create Saved Response popup with title ""Add To Saved Responses""",High
62,,,"1. Open Add To Saved Responses popup
2. Verify pre-populated fields","Title blank, Message pre-populated with coach message","- SHOULD leave Title field blank
- SHOULD pre-populate Message field with the Coach's message",High
63,,,"1. Coach message is over 10,000 characters
2. Click bookmark button
3. Verify Message field","Coach message over 10,000 chars truncated","- SHOULD populate Message field with first 10,000 characters of the Coach's message",High
64,,,"1. Fill Title field
2. Click Save button
3. Verify result",Save adds response with toast,"- SHOULD add the message as a new saved response
- SHOULD display toast: ""Response has been saved""",Critical
