ID,Module,Title,Preconditions,Steps,Test data,Expected Result,Priority
INBOX-001,Inbox,CLICK Unread Filter with Mixed Messages,"User logged in
Inbox contains 3 unread and 5 read messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","3 unread messages
5 read messages","SHOULD display only 3 unread messages.
SHOULD hide all 5 read messages.
SHOULD show unread count badge ""3"".",High
INBOX-002,Inbox,CLICK All Chats Filter from Unread View,"User logged in
[Unread] filter active
3 unread and 5 read messages exist","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter","3 unread messages
5 read messages","SHOULD display all 8 messages.
SHOULD show messages in chronological order.
SHOULD remove unread filter.",High
INBOX-003,Inbox,CLICK Unread Filter with Seven Read and Three Unread,"User logged in
Inbox contains 7 read and 3 unread messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","7 read messages
3 unread messages","SHOULD hide all 7 read messages.
SHOULD display only 3 unread messages.
SHOULD apply filtering logic correctly.",High
INBOX-004,Single chat,CLICK Unread Message with Sticky View Active,"User logged in
[Unread] filter applied
Message A and Message B both unread","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A","Message A: unread
Message B: unread","SHOULD change Message A status to Read.
SHOULD decrement unread count by 1.
SHOULD keep Message A visible in list.",Critical
INBOX-005,Single chat,CLICK Second Unread Message After Reading First,"User logged in
[Unread] filter active
Message A read but visible (sticky)
Message B unread",1. CLICK Message B,"Message A: read (sticky)
Message B: unread","SHOULD remove Message A from list immediately.
SHOULD open Message B.
SHOULD change Message B to Read.
SHOULD keep Message B visible.",Critical
INBOX-006,Inbox,CLICK All Chats Then Return to Unread Filter,"User logged in
[Unread] filter active
Message A read but still visible (sticky)
2 other unread messages exist","1. CLICK **[All Chats]** filter
2. CLICK **[Unread]** filter","Message A: read (sticky)
2 other unread messages","SHOULD remove Message A from list.
SHOULD display only 2 truly unread messages.
SHOULD clean up sticky state.",High
INBOX-007,Inbox,CLICK Unread Filter with Zero Unread Messages,"User logged in
0 unread messages exist
5 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","0 unread
5 read","SHOULD display ""No unread messages"" empty state.
SHOULD NOT show any messages in list.
SHOULD show unread count as 0 or hidden.",Medium
INBOX-008,Inbox,CLICK Unread Filter with More Than Twenty Chat Rooms,"User logged in
Inbox contains 25 chat rooms
15 unread and 10 read messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","25 chat rooms total
15 unread
10 read","SHOULD display only 15 unread messages.
SHOULD hide all 10 read messages.
SHOULD handle large list without performance issues.",Medium
INBOX-009,Single chat,CLICK Last Unread Message Until List Empty,"User logged in
[Unread] filter active
Only 1 unread message exists (Message A)","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A",1 unread message,"SHOULD change Message A to Read.
SHOULD keep Message A visible (sticky).
SHOULD show unread count as 0.",Medium
INBOX-010,Inbox,CLICK Unread Filter Multiple Times Rapidly,"User logged in
3 unread and 5 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter
4. CLICK **[Unread]** filter
5. CLICK **[All Chats]** filter","3 unread
5 read","SHOULD maintain correct filter state.
SHOULD display correct messages on each switch.
SHOULD NOT show UI flickering or errors.",Medium
