No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Navigate to conversation in Inbox
3. Verify Editor nav",button displayed next to GIF,- SHOULD display Saved Responses button next to GIF button,High
2,,,"1. Login as Coach
2. Navigate to conversation in Inbox
3. Hover over Saved Responses button
4. Verify tooltip",tooltip on hover,"- SHOULD show tooltip ""Saved Responses \""",Medium
3,,AC2: Saved Response popup,"1. Login as Coach
2. Navigate to conversation in Inbox
3. Click Saved Responses button
4. Verify modal",modal opens on button click,- SHOULD display Saved Responses modal,Critical
4,,,"1. Login as Coach with Pro/Studio plan
2. Navigate to conversation in Inbox
3. Use shortcut Ctrl/Command + K
4. Verify modal",modal opens via keyboard shortcut,- SHOULD display Saved Responses modal via Ctrl/Command + K,High
5,,,"1. Login as Coach
2. Open Saved Responses modal
3. Verify X button",X button in modal header,- SHOULD display X button in modal header,Medium
6,,,"1. Login as Coach
2. Open Saved Responses modal
3. Click X button
4. Verify modal closes",close via X button,- SHOULD close modal when X button clicked,High
7,,,"1. Login as Coach
2. Open Saved Responses modal
3. Verify Search box",Search box displayed,- SHOULD display Search box,High
8,,,"1. Login as Coach
2. Open Saved Responses modal
3. Verify Create new button",Create new button in top-right,- SHOULD display Create new button in top-right corner,High
9,,,"1. Login as Coach
2. Open Saved Responses modal
3. Hover over Create new button
4. Verify tooltip",tooltip on Create new hover,"- SHOULD show tooltip ""Create New""",Medium
10,,,"1. Login as Coach with empty saved responses
2. Open Saved Responses modal
3. Verify empty state message",empty state message,"- SHOULD display empty state with text ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
11,,,"1. Login as Coach with saved responses
2. Open Saved Responses modal
3. Verify list structure",list displays below Search box,- SHOULD display list of saved-response items below Search box,High
12,,,"1. Login as Coach with saved responses
2. Open Saved Responses modal
3. Verify left-side panel",title list on left side,- SHOULD show list of title's saved responses on left-side of modal,High
13,,,,latest updated time ordering,- SHOULD order saved responses by latest updated time,Medium
14,,,"1. Login as Coach with frequently used responses
2. Open Saved Responses modal
3. Verify FREQUENTLY USED section",FREQUENTLY USED section displayed,- SHOULD display FREQUENTLY USED section,High
15,,,,top 5 most-used responses,- SHOULD show top 5 most-used saved responses by that user,High
16,,,,fewer than 5 responses,- SHOULD show all available responses when fewer than 5,Medium
17,,,,sort by usage_count descending,- SHOULD sort by usage_count descending (most used to least used),Medium
18,,,,equal usage_count sort by title,- SHOULD sort by title ascending (A–Z) when usage_count is equal,Low
