ID,Test Scenarios,Empty column,Items for Pivot Table,Step,Test Data,Expected
,US10. As a coach I can book a session for a client via "Book Session" CTA,,,,,
US10-1,Open "Book a session" popup via CTA button and verify default prefills,,US10 / AC1,"1. Navigate to the Calendar page on the Booking feature.
2. Click the ""Book a session"" CTA button.
3. Verify the ""Book a session"" popup.","Precondition: Logged in as Owner/Admin. Booking feature is enabled.","- ""Book a session"" popup is displayed.
- Background calendar is dimmed.
- Focus is trapped inside the modal.
- Popup header shows ""Book a session"".
- Trainer field is disabled and defaults to the Workspace's Owner.
- Location field defaults to ""In-person"".
- Start date defaults to today's date.
- Start time defaults to 7:00 AM.
- Duration field defaults to 30 min.
- Client field is empty (required).
- Name field is empty (required).
- CTA buttons ""Book Session"" and ""Cancel"" are visible.
- Close (x) icon is visible."
US10-2,Open popup by clicking a time slot on Day/Week view and verify prefills,,US10 / AC1,"1. Navigate to the Calendar page on Day view.
2. Click a time slot at 9:00 AM on today's date.
3. Verify prefilled values in the ""Book a session"" popup.
4. Close the popup.
5. Switch to Week view.
6. Click a time slot at 2:00 PM on a future date.
7. Verify prefilled values in the ""Book a session"" popup.","Precondition: Logged in as Owner/Admin. Booking feature is enabled.","- (Day view) Popup opens with Start date = today's date and Start time = 9:00 AM.
- (Week view) Popup opens with Start date = clicked future date and Start time = 2:00 PM."
US10-3,Open popup by clicking a day cell on Month view and verify prefills,,US10 / AC1,"1. Navigate to the Calendar page on Month view.
2. Click on a future date cell.
3. Verify prefilled values in the ""Book a session"" popup.","Precondition: Logged in as Owner/Admin. Booking feature is enabled.","- Popup opens with Start date = clicked date.
- Start time defaults to 7:00 AM."
US10-4,Search and select a client in the Client field,,US10 / AC2,"1. Open the ""Book a session"" popup via CTA button.
2. Click the Client field.
3. Observe the dropdown list.
4. Type ""Jane"" in the search box.
5. Wait 200ms for debounce.
6. Observe matching results.
7. Select the first matching client.
8. Verify the Client field.","Precondition: Workspace has active clients (not Pending/Archived/Waiting Activation). At least one client named ""Jane"" exists.","- Dropdown shows up to 20 clients sorted alphabetically by name.
- Each item displays profile image, client name, and client email.
- Clients with Pending, Archived, or Waiting Activation status are not shown.
- After typing ""Jane"", only clients matching the name are displayed.
- Selecting a client closes the dropdown.
- The selected client's name appears in the Client field."
US10-5,Scroll to load more clients and handle no-results search,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Client field.
3. Scroll to the bottom of the dropdown.
4. Observe that more clients load.
5. Type a search string that matches no clients (e.g., ""zzznomatch"").
6. Wait 200ms.
7. Verify the dropdown.","Precondition: Workspace has more than 20 active clients.","- Scrolling loads the next 20 clients.
- When no clients match, the dropdown shows ""No clients found."""
US10-6,Enter a Start Date via keyboard and verify calendar picker behavior,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Start date field.
3. Verify the field is highlighted and calendar picker opens.
4. Type ""Feb 15, 2026"".
5. Observe the calendar picker as each segment is typed.
6. Press Enter.
7. Verify the Start date field.","Precondition: Workspace was created before Feb 2026. Target date is within supported range.","- Clicking the field highlights the entire current value.
- Calendar picker opens.
- As ""Feb"" is typed, the picker hovers on Feb 1, 2026.
- As ""15"" is typed, the picker hovers on Feb 15, 2026.
- As ""2026"" is typed, the picker hovers on Feb 15, 2026.
- After pressing Enter, the date ""Feb 15, 2026"" is applied to the Start date field and the calendar picker closes."
US10-7,Select a date from the calendar picker and verify out-of-range hover,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Start date field.
3. In the calendar picker, hover over a date one year and one day beyond the current date (out of range).
4. Observe the hover state.
5. Click a valid in-range date.
6. Verify the Start date field.","Precondition: Logged in as Owner/Admin.","- The out-of-range date shows a ""stop"" icon on hover.
- The selected in-range date is visually highlighted in the picker.
- The date is applied to the Start date field and the picker closes."
US10-8,Enter a Start Time via keyboard and verify dropdown highlight and apply,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Start time field.
3. Verify the field is highlighted.
4. Type ""09:30 AM"".
5. Observe the dropdown to see if the matching option is highlighted.
6. Press Enter.
7. Verify the Start time field and coach timezone display.","Precondition: Logged in as Owner/Admin.","- Clicking the field highlights the entire current value.
- Dropdown displays time slots in 15-minute increments.
- The option ""9:30 AM"" is visually highlighted (hover state) in the dropdown.
- After pressing Enter, ""9:30 AM"" is applied to the Start time field and dropdown closes.
- The coach's timezone is displayed next to the Start time field."
US10-9,Toggle ""Add note to client"" field — verify counter at 450 and block at 500,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the ""Add note to client"" button.
3. Verify the textbox appears and has focus.
4. Type exactly 450 characters into the textbox.
5. Observe the character counter.
6. Type until reaching 500 characters.
7. Attempt to type one more character beyond 500.
8. Verify input is blocked.","Precondition: ""Add note to client"" field is collapsed by default.
Test input: a 500-character string.","- Clicking the button shows the textbox with placeholder ""Add note to client"" and cursor focused.
- At 450 characters, the character counter becomes visible.
- At 500 characters, the input cursor is blocked (no further input accepted)."
US10-10,Select a session type — verify summary section and hidden fields,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Type field.
3. Observe the dropdown list.
4. Select an active session type (e.g., ""Personal Training"").
5. Verify the popup layout.","Precondition: Workspace has at least one active session type (not archived, belongs to current WS).","- Dropdown shows active session types sorted alphabetically; first 20 loaded.
- Each option shows: session type name, duration, location type, number of clients (1:1).
- Archived session types are not shown.
- After selection, the dropdown closes.
- A summary section displays: session type color, name, duration, location, address (if any), location note (if any), description (if any).
- Name, Duration, Location, Description fields are hidden from the popup.
- ""Add note to client"" field remains visible."
US10-11,Search for a session type and handle no-results state,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Type field.
3. Type ""zzznoresult"" in the search box.
4. Wait 200ms.
5. Observe the dropdown.","Precondition: No active session type matches ""zzznoresult"".","- The dropdown shows an empty list with the message ""No result found."""
US10-12,Handle empty session type list — display create CTA,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Click the Type field.
3. Observe the dropdown when no active session types exist.","Precondition: Workspace has no active session types.","- Dropdown shows text ""No session types yet"".
- A ""Create session type"" CTA button is displayed.
- Clicking the CTA navigates to Session Type creation."
US10-13,Clear selected session type and return to Custom mode,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Select a session type.
3. Fill in Client field and Start time.
4. Click the ""x"" icon on the session type summary.
5. Verify the popup state.","Precondition: At least one active session type exists. Client and Start time are filled.","- The session type summary section is cleared.
- The popup returns to Custom Session mode (Name, Duration, Location, Description fields reappear).
- Client field, Start date, Start time, and Add note to client data are persisted."
US10-14,Edit session type for current session only and apply changes,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Select a session type.
3. Hover over the ""Edit"" icon.
4. Verify the tooltip.
5. Click the ""Edit"" icon.
6. Verify the edit popup.
7. Change the Duration to 60 min.
8. Verify the Apply button state.
9. Click ""Apply"".
10. Verify the session type summary.","Precondition: At least one active session type exists. Session type has default duration of 30 min.","- Hovering the Edit icon shows tooltip ""Change duration, location or description"".
- Edit popup opens with title ""Edit [Session type name]"".
- Message ""Changes apply to this session only."" is displayed.
- Session type info is auto-populated.
- Apply button is disabled by default.
- After changing Duration, Apply button becomes enabled.
- Clicking Apply closes the edit popup.
- The summary section on the Book Session popup reflects the new duration (60 min).
- The Book Session popup is displayed for continued booking."
US10-15,Cancel edit of session type overlay and verify data unchanged,,US10 / AC2,"1. Open the ""Book a session"" popup.
2. Select a session type.
3. Click the ""Edit"" icon.
4. Change the Location field.
5. Click ""Cancel"" in the edit popup.
6. Verify the Book Session popup.","Precondition: At least one active session type exists.","- The Edit popup closes.
- The Book Session popup is displayed.
- The session type summary shows the original location (unchanged)."
