No.,US,AC,Step,Title,Expectation,Priority
1,US1: As a coach I should be able to see the Saved Responses button in Inbox if the workspace subscription is a Paid plan (from Pro) or Trial Plan,AC1: Workspace is in Trial or Paid plans,"1. Set workspace to Trial plan
2. Login as Coach
3. Navigate to Inbox tab",Trial plan,"- SHOULD allow Coach (all roles) to use Saved Responses feature
- SHOULD show enabled button in inbox chat
- SHOULD allow user to save and use saved message as current behavior",High
2,,,,"Pro plan","- Pro plan - SHOULD allow Coach (all roles) to use Saved Responses feature
- Pro plan - SHOULD show enabled button in inbox chat
- Pro plan - SHOULD allow user to save and use saved message as current behavior",High
3,,,,"Studio plan","- Studio plan - SHOULD allow Coach (all roles) to use Saved Responses feature
- Studio plan - SHOULD show enabled button in inbox chat
- Studio plan - SHOULD allow user to save and use saved message as current behavior",High
4,,,,"Bundle plan","- Bundle plan - SHOULD allow Coach (all roles) to use Saved Responses feature
- Bundle plan - SHOULD show enabled button in inbox chat
- Bundle plan - SHOULD allow user to save and use saved message as current behavior",High
5,,AC2: Workspace is in Free Plan,"1. Set workspace to Free Plan
2. Login as Coach
3. Navigate to Inbox tab",Free plan - disabled button,- SHOULD disable Saved Responses button with icon for upgrade,High
6,,,,Free plan - hover tooltip,- SHOULD change button state and display tooltip "Upgrade to use Save Response feature" when hovering on the icon,Medium
7,,,,"1. Set workspace to Free Plan
2. Login as Owner
3. Navigate to Inbox tab
4. Click Saved Responses button",Free plan - Owner/Admin click,- SHOULD navigate to billing page focused on Pro plan,High
8,,,,Free plan - Trainer click,"- SHOULD show pop-up informing trainer to reach out to workspace owner for upgrade
- SHOULD display owner's name in pop-up (same pop-up as broadcast feature)
- SHOULD close pop-up when clicking x",High
9,,AC3: Update Billing Page with Saved Responses option,1. Navigate to billing page,Billing page - Saved Responses in Compare section,"- SHOULD add Saved Responses option in Pro and Studio plan in Compare section
- SHOULD highlight Saved Responses in Pro plan
- SHOULD NOT highlight Saved Responses in Studio plan
- SHOULD display title as Saved Responses",High
10,,,,,Billing page - tooltip on hover,- SHOULD show tooltip "Save and reuse message templates to respond to client inquiries instantly from your Inbox." when hovering on Saved Responses option,Medium
11,,,,,Billing page - Bundle plan,- SHOULD NOT add Saved Responses option in billing modal for Bundle plan,Medium
12,,AC4: Downgrade plan case,"1. Set workspace to Pro plan
2. Login as Trainer
3. Start using Saved Responses function
4. Admin/Owner downgrades workspace to Free plan",Pro plan downgrade,"- SHOULD block Saved Responses function
- SHOULD request trainer to log out by showing pop-up (same UC as broadcast downgrade)",Critical
13,,,,,Studio plan downgrade,"- Studio plan downgrade - SHOULD block Saved Responses function
- Studio plan downgrade - SHOULD request trainer to log out by showing pop-up (same UC as broadcast downgrade)",Critical
