No.,US,AC,Step,Title,Expectation,Priority
1,"US1: As a coach who frequently messages clients, I want to save and quickly insert predefined responses in chats",AC1: Add Saved Response button in Editor nav,"1. Login as Coach
2. Open a conversation in Inbox
3. Verify Saved Responses button in Editor nav",button placement,- SHOULD display Saved Responses button next to GIF button in Editor nav,High
2,,,"4. Hover over Saved Responses button
5. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Saved Responses""",High
3,,AC2: Saved Response popup,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Verify Saved Responses modal",popup shown on click,- SHOULD display Saved Responses modal,High
4,,,"3. Press Ctrl/Cmd + K
4. Verify Saved Responses modal",popup shown via shortcut,- SHOULD display Saved Responses modal via Ctrl/Cmd + K shortcut,High
5,,,5. Verify Create new button,Create new button placement,- SHOULD display Create new button in top-right corner of the modal,High
6,,,5. Verify empty state (no saved responses),empty state,"- SHOULD display empty state with image and text ""Your saved responses list is empty. Start by creating your first one to save time during chats.""",High
7,,,5. Verify list layout (with saved responses),left side titles list,- SHOULD display list of saved response titles on the left side of the modal,High
8,,,,right side message detail,- SHOULD display message detail of selected saved response on the right side,High
9,,,,default selection,- SHOULD select the first saved response in the list by default,High
10,,,6. Verify FREQUENTLY USED section (no frequently used responses),FREQUENTLY USED hidden when empty,- SHOULD hide FREQUENTLY USED section if no frequently used saved responses exist,Medium
11,,,6. Verify FREQUENTLY USED section (with frequently used responses),FREQUENTLY USED section,"- SHOULD display FREQUENTLY USED section with top 5 most-used saved responses sorted by usage_count descending, then title A-Z when equal",High
12,,,7. Verify ALL section,ALL section,- SHOULD display ALL section listing all saved responses sorted by title A-Z,High
13,,,8. Verify footer,footer shortcuts,- SHOULD display list of keyboard shortcuts in the footer,Medium
14,,,"9. Hover over Create new button
10. Verify tooltip",Create new hover tooltip,"- SHOULD display tooltip ""Create New""",Medium
15,,,"11. Use arrow keys Up/Down
12. Verify navigation",arrow key navigation,- SHOULD allow user to move between responses using arrow keys Up and Down,High
16,,,"13. Hover over a saved response title
14. Verify message detail updates",hover to preview,- SHOULD display the hovered saved response's message detail on the right side,High
17,,,"15. Hover over message detail area
16. Verify 3-dot button",3-dot on message hover,- SHOULD display 3-dot button when hovering over message detail,High
18,,,,message detail scrollable,- SHOULD allow scrolling if the message content is long,Medium
19,,,"17. Scroll down to bottom of list
18. Verify Load more",pagination load more,- SHOULD display Load more and load next 20 items on scroll,High
20,,,"19. Click X button
20. Verify modal closes",X button closes modal,- SHOULD close the Saved Responses modal,High
21,,,"19. Press Esc
20. Verify modal closes",Esc closes modal,- SHOULD close the Saved Responses modal,Medium
22,,AC3: Search box behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Verify search box",default state with placeholder,"- SHOULD display empty search box with placeholder ""Search saved response""",High
23,,,"4. Focus on search box
5. Verify placeholder changes",focus placeholder change,"- SHOULD change placeholder to ""Enter keyword...""",Medium
24,,,"6. Input text in search box
7. Verify x icon appears",x icon on input,- SHOULD display x icon when text is inputted,High
25,,,"8. Click x icon
9. Verify search box and list",clear search restores full list,- SHOULD remove search text and show back the full list,High
26,,,"6. Type 1 character
7. Verify search triggers",search from 1 character,- SHOULD start searching from 1 character input,High
27,,,,search title and message match,- SHOULD search based on title and message with case-insensitive partial matching,High
28,,,"6. Search for non-existing keyword
7. Verify results area",no results found,"- SHOULD display ""Search results (0)"" below search box",High
29,,,"6. Search for existing keyword
7. Verify results area",results count display,"- SHOULD display ""Search results ({number_of_matched_results})"" below search box",High
30,,,,results default selection,- SHOULD select the first search result to view by default,High
31,,,,search results pagination,- SHOULD apply pagination with 20 items per load and Load more on scroll,Medium
32,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Open Saved Responses modal
3. Hover over a saved response message detail
4. Click 3-dot button
5. Verify submenu",submenu options,"- SHOULD display submenu with ""Edit response"" and ""Delete response"" options",High
33,,AC5: Add a new saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click Create new button
4. Verify Create Saved Response popup",popup shown,"- SHOULD display Create Saved Response popup with title ""Create Saved Response""",High
34,,,5. Verify TITLE field,Title field default state,"- SHOULD display required empty TITLE field with placeholder ""Name this response for easy search""",High
35,,,"6. Hover over info icon next to TITLE label
7. Verify tooltip",Title field info tooltip,"- SHOULD show tooltip ""Used to organize responses. This won’t appear in messages.""",Medium
36,,,8. Verify MESSAGE field,Message field default state,"- SHOULD display required empty MESSAGE field with placeholder ""Write the full message you want to send to clients""",High
37,,,,Message field character counter,"- SHOULD display character count as ""{X}/10000""",High
38,,,9. Verify Save button,Save button disabled by default,- SHOULD display Save button as disabled when fields are empty,High
39,,,10. Verify Cancel button,Cancel button always enabled,- SHOULD display Cancel button as always enabled,High
40,,,"11. Input 140 characters in TITLE field
12. Try to input more characters
13. Verify TITLE field",Title max 140 chars,- SHOULD not allow input beyond 140 characters,High
