ID,Test Scenarios,Empty,Items for Pivot Table,Step,Test Data,Expected
,"US10. As a coach, I can book a session for a client in the Workspace via Book Session CTA",,,,,
US10-1,Open Book Session popup via CTA button with default prefills,,US10 / AC1,"1. Navigate to Calendar page on Booking feature
2. Click Book a session CTA button
3. Verify popup opens with title Book a session
4. Verify background calendar is dimmed and focus is trapped inside modal
5. Verify all fields are present: Trainer (disabled), Client, Start Date, Start Time, Type, Name, Duration, Location, Description, Add note to client
6. Verify CTA buttons Book Session and Cancel are displayed, plus Close icon
7. Verify default values: Start date = Today, Start time = 7:00 AM, Duration = 30 min, Location = In-person, Trainer = WS Owner (disabled)","Logged in as Owner/Admin.
Booking feature enabled for Workspace.","- Book a session popup displays
- Background calendar is dimmed
- Focus trapped inside modal
- Trainer field disabled, default to WS Owner
- Start date = today's date
- Start time = 7:00 AM
- Duration = 30 min
- Location = In-person
- All required and optional fields visible"
US10-2,Open Book Session popup via Day/Week view time slot click,,US10 / AC1,"1. Navigate to Calendar page in Day view
2. Double-click on the 9:00 AM - 10:00 AM time slot on Jan 15, 2026
3. Verify popup opens
4. Verify Start date = Jan 15, 2026
5. Verify Start time = 9:00 AM
6. Repeat steps 1-5 on Week view","Logged in as Owner/Admin.
Calendar set to Day view, then Week view.
Target date: Jan 15, 2026.","- Book a session popup displays
- Start date = clicked date (Jan 15, 2026)
- Start time = start hour of clicked time slot (9:00 AM)
- Same behavior on both Day and Week views"
US10-3,Open Book Session popup via Month view date click,,US10 / AC1,"1. Navigate to Calendar page in Month view
2. Click on a blank space on Feb 10, 2026
3. Verify popup opens
4. Verify Start date = Feb 10, 2026
5. Verify Start time = 7:00 AM (default)","Logged in as Owner/Admin.
Calendar set to Month view.
Target date: Feb 10, 2026.","- Book a session popup displays
- Start date = Feb 10, 2026
- Start time defaults to 7:00 AM"
US10-4,Search and select a client from dropdown,,US10 / AC2,"1. Open Book a session popup
2. Click Client field
3. Verify searchable dropdown opens with hover state
4. Verify first 20 clients displayed, sorted alphabetically by name
5. Verify each item shows: Profile image, Client name, Client email
6. Verify only active clients shown (not Pending, Archived, or Waiting Activation)
7. Scroll down and verify next 20 clients load
8. Select a client
9. Verify dropdown closes and client is selected","Logged in as Owner/Admin.
Workspace has 25+ active clients.
Clients include various statuses: Active, Pending, Archived.","- Dropdown displays active clients only
- Clients sorted alphabetically by name
- First 20 clients loaded initially
- Scrolling loads next 20
- Each item shows profile image, name, email
- Selecting a client closes dropdown"
US10-5,Search client by name and email with debounce,,US10 / AC2,"1. Open Book a session popup
2. Click Client field
3. Type client name John in the search textbox
4. Verify search triggers after 200ms debounce
5. Verify only matching clients display
6. Clear search and type client email john@example.com
7. Verify matching clients display by email","Logged in as Owner/Admin.
Workspace has client: John Doe, john@example.com.","- Search triggers after 200ms debounce
- Typing name filters clients by name
- Typing email filters clients by email
- Only matching clients displayed"
US10-6,Search client with no matching results,,US10 / AC2,"1. Open Book a session popup
2. Click Client field
3. Type nonexistent name zzzzzzz in search textbox
4. Verify blank dropdown with message No clients found.","Logged in as Owner/Admin.
No client matches zzzzzzz.","- Blank dropdown list displayed
- Message: No clients found."
US10-7,Input Start Date via keyboard and calendar picker,,US10 / AC2,"1. Open Book a session popup
2. Click Start Date field
3. Verify entire current value is highlighted (text selection)
4. Type Feb
5. Verify calendar picker hovers on Feb 1 of current year
6. Continue typing 14, 2026
7. Verify calendar picker hovers on Feb 14, 2026
8. Press Enter
9. Verify Start Date = Feb 14, 2026 and calendar picker closes","Logged in as Owner/Admin.
Date format: mmm dd, yyyy.","- Clicking field highlights entire value
- Typing mmm hovers on 1st of that month
- Typing full date hovers on exact date
- Enter key applies value and closes picker"
US10-8,"Start Date picker allows past, present and future dates within range",,US10 / AC2,"1. Open Book a session popup
2. Click Start Date field to open picker
3. Verify currently selected date is highlighted
4. Select a past date within supported range
5. Verify date is applied
6. Click Start Date again and select a future date within 1 year from now
7. Verify date is applied
8. Hover on a date outside supported range
9. Verify stop icon displays","Logged in as Owner/Admin.
WS created date: Jan 1, 2024.
Supported range: WS creation date to 1 year from today.","- Past dates within range selectable
- Future dates within 1 year selectable
- Currently selected date is highlighted
- Dates outside range show stop icon on hover"
US10-9,Start Date invalid month input keeps previous hover,,US10 / AC2,"1. Open Book a session popup
2. Click Start Date field
3. Type Xyz (invalid month)
4. Verify calendar picker keeps hover on previous date
5. Clear and type Mar
6. Verify picker hovers on Mar 1",Logged in as Owner/Admin.,"- Invalid month input does not change hover
- Valid month input updates hover correctly"
US10-10,Input Start Time via keyboard and dropdown selection,,US10 / AC2,"1. Open Book a session popup
2. Verify coach's timezone is displayed near Start Time
3. Click Start Time field
4. Verify entire current value is highlighted
5. Type 2:30 PM
6. Verify matching option 2:30 PM is highlighted in dropdown
7. Press Enter
8. Verify Start Time = 2:30 PM and dropdown closes
9. Click Start Time again and select 10:00 AM from dropdown
10. Verify time slots in 15-minute increments","Logged in as Owner/Admin.
Coach timezone: PST.","- Coach's timezone displayed
- Clicking field highlights value
- Typing matches and highlights option in dropdown
- Enter applies value and closes dropdown
- Time slots in 15-minute increments"
US10-11,Input Name and select Duration from dropdown,,US10 / AC2,"1. Open Book a session popup
2. Click Name field and type Morning Yoga
3. Verify name is entered
4. Click Duration field
5. Verify dropdown displays time slots
6. Select 60 min
7. Verify Duration = 60 min","Logged in as Owner/Admin.
Session name: Morning Yoga.
Duration: 60 min.","- Name field accepts input
- Duration dropdown displays available time slots
- Selected duration applied"
US10-12,Add note to client with character limit and counter,,US10 / AC2,"1. Open Book a session popup
2. Click Add note to client button
3. Verify textbox displays with placeholder Add note to client
4. Verify cursor is focused in textbox
5. Type 450 characters
6. Verify character counter appears
7. Continue typing to reach 500 characters
8. Verify input is blocked at 500 characters","Logged in as Owner/Admin.
Note text: 500 characters of lorem ipsum.","- Textbox appears with placeholder text
- Cursor focused on textbox
- Character counter appears at 450 chars
- Input blocked at 500 chars"
