ID,Test Scenarios,Items for Pivot Table,Step,Test Data,Expected
,US10. As a coach I can book a session for a client via "Book Session" CTA,,,,
US10-1,Open Book a session popup via CTA button — defaults,US10 / AC1,"1. Navigate to Calendar page with Booking feature enabled.
2. Click the ""Book a session"" CTA button.
3. Verify the ""Book a session"" popup.","Logged in as Owner/Admin.
Booking feature enabled for Workspace.","- ""Book a session"" popup opens.
- Background calendar is dimmed.
- Focus is trapped inside the modal.
- Popup contains fields: Trainer (disabled), Client, Start Date, Start Time, Type, Name, Duration, Location, Add note to client, and CTA buttons: ""Book Session"" | ""Cancel"" + Close icon.
- Trainer field is disabled and defaults to Workspace's Owner.
- Start Date defaults to today.
- Start Time defaults to 7:00 AM.
- Location defaults to ""In-person"".
- Duration is auto-populated with 30 min."
US10-2,Open Book a session popup via time slot click — Day/Week view prefill,US10 / AC1,"1. Navigate to Calendar page on Day view.
2. Click a time slot (e.g., 6 AM–7 AM row).
3. Verify the ""Book a session"" popup.
4. Switch to Week view; click a different time slot.
5. Verify the popup again.","Booking feature enabled.
Day view and Week view active.","- Popup opens on both views.
- Start Date = clicked date.
- Start Time = start hour of the clicked time slot (e.g., 6:00 AM).
- Other defaults remain (Location = In-person, Duration = 30 min)."
US10-3,Open Book a session popup via time slot click — Month view prefill,US10 / AC1,"1. Navigate to Calendar page on Month view.
2. Click a date cell.
3. Verify the ""Book a session"" popup.","Booking feature enabled.
Month view active.","- Popup opens.
- Start Date = clicked date.
- Start Time defaults to 7:00 AM (no time slot on Month view)."
US10-4,Client field — dropdown display and alphabetical sort,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Client"" field.
3. Verify the dropdown.
4. Scroll to load more clients.","Workspace has 25+ active clients (not Pending / Archived / Waiting Activation).","- Dropdown opens with a searchable input and hover state on items.
- First 20 clients are loaded sorted alphabetically by name.
- Scrolling loads the next batch of clients.
- Each client item shows: profile image, client name, client email.
- Clients at Pending / Archived / Waiting Activation status are not shown."
US10-5,Client field — search by name and email; no results state,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Client"" field.
3. Type a partial client name; wait 200 ms.
4. Verify filtered results.
5. Clear the input; type a client email; wait 200 ms.
6. Verify filtered results.
7. Type a string that matches no client; wait 200 ms.
8. Verify empty state.","Active clients exist.
Search string that matches by name; search string that matches by email; search string matching nothing.","- After 200 ms debounce, dropdown shows only matching clients for name search.
- After 200 ms debounce, dropdown shows only matching clients for email search.
- When no match, dropdown shows message: ""No clients found.""
- Selecting a client closes the dropdown."
US10-6,Start Date field — keyboard input and calendar picker,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Start date"" field.
3. Verify field behavior on focus.
4. Type a valid date (e.g., ""Mar 15, 2026""); verify calendar hover.
5. Press Enter; verify value applied and picker closed.
6. Reopen picker; hover a date out of supported range; verify cursor icon.","Current date = today.
WS created at least 1 year ago.","- Clicking the field highlights the entire current value.
- Calendar picker opens.
- As mmm is typed, calendar hovers on the 1st of that month in current year.
- As dd is typed, calendar hovers on that date in the selected month.
- As yyyy is typed, calendar hovers on the complete date in the selected year.
- Pressing Enter or clicking outside applies the typed value and closes the picker.
- Currently selected date is visually highlighted in the picker.
- Hovering a date outside the supported range (WS creation date to 1 year ahead) shows a ""stop"" icon."
US10-7,Start Date field — invalid month abbreviation keeps previous hover,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Start date"" field.
3. Type an invalid month abbreviation (e.g., ""Xyz"").
4. Verify calendar picker state.","Any valid date pre-filled.","- Calendar picker keeps hovering on the previously selected date.
- No crash or reset occurs."
US10-8,Start Time field — keyboard input, highlight, dropdown, and apply,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Start time"" field.
3. Verify field behavior on focus.
4. Type ""10:30 AM""; verify dropdown highlight.
5. Press Enter; verify value applied and dropdown closed.","Booking popup open.","- Clicking the field highlights the entire current value.
- Time slots displayed in 15-minute increments.
- Coach's timezone label is displayed.
- Typed value matching an available option visually highlights that option in the dropdown.
- Pressing Enter or clicking outside applies the value and closes the dropdown."
US10-9,Name field — free text input,US10 / AC2,"1. Open ""Book a session"" popup in Custom mode (no session type selected).
2. Click the ""Name"" field.
3. Type a session name.
4. Verify field accepts input.","No session type selected.","- Name field is visible.
- Typed session name is accepted and displayed in the field."
US10-10,Duration field — dropdown selection,US10 / AC2,"1. Open ""Book a session"" popup in Custom mode.
2. Click the ""Duration"" field.
3. Verify the dropdown.
4. Select a duration option.","No session type selected.","- Clicking Duration opens a dropdown list of time slots.
- The selected duration value is applied to the field."
US10-11,"Add note to client — show textbox, character counter at 450, block at 500",US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Add note to client"" button.
3. Verify textbox appears with cursor focused.
4. Type 449 characters; verify no counter.
5. Type 1 more character (total 450); verify counter appears.
6. Type until 500 characters; verify input is blocked.","Text strings of 449, 450, and 500 characters prepared.","- Clicking the button displays the textbox with placeholder ""Add note to client"".
- Cursor is focused in the textbox.
- Character counter is NOT shown below 450 characters.
- At 450 characters, counter appears (same style as Add location note field).
- At 500 characters, input cursor is blocked; no further input accepted."
US10-12,Type field — list of active session types, alphabetical sort, load more,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Type"" field.
3. Verify the dropdown list.
4. Scroll to load more session types.","Workspace has 25+ active session types (is_archived = FALSE, team = current WS).","- Dropdown opens with a searchable list of active session types.
- Archived session types are not shown.
- Session types sorted alphabetically by name.
- First 20 session types load; scrolling loads the next 20.
- Each option shows: session type name, duration, location type (icon/text), number of clients (1:1)."
US10-13,Type field — search session types; no results state,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Type"" field.
3. Type a partial session type name; wait 200 ms; verify results.
4. Type a string matching nothing; wait 200 ms; verify empty state.","Active session types exist.","- After 200 ms debounce, only matching session types are shown.
- When no match, dropdown shows message: ""No result found."""
US10-14,Type field — no session types exist: empty state and Create CTA,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Type"" field.
3. Verify empty state.
4. Click the ""Create session type"" button.","No active session types exist in the Workspace.","- Dropdown shows text: ""No session types yet"".
- ""Create session type"" CTA button is displayed.
- Clicking the button navigates coach to the Session Type creation page."
US10-15,Select session type — summary section and hidden fields,US10 / AC2,"1. Open ""Book a session"" popup.
2. Click the ""Type"" field and select a session type.
3. Verify form changes.","Active session type exists with color, name, duration, In-person location, address, location note, and description.","- Dropdown closes.
- Session type summary section displays: color, name, duration, location, address, location note, description.
- Fields Name, Duration, Location, Description are hidden from the popup.
- ""Add note to client"" field remains visible."
US10-16,Clear selected session type — return to Custom mode with data persisted,US10 / AC2,"1. Open ""Book a session"" popup.
2. Select a session type.
3. Fill in Client, Start Date, Start Time, Add note to client.
4. Click the ""x"" icon on the session type summary to clear it.
5. Verify form state.","Active session type selected; client, start date/time, and note filled in.","- Session type summary section is cleared.
- Form returns to Custom Session mode (Name, Duration, Location, Description fields reappear).
- Client, Start Date, Start Time, and Add note to client values are preserved."
US10-17,Customize session type for current session — Edit icon tooltip and popup,US10 / AC2,"1. Open ""Book a session"" popup and select a session type.
2. Hover over the ""Edit"" icon next to the session type summary.
3. Verify tooltip.
4. Click the ""Edit"" icon.
5. Verify the Edit popup.","Active session type selected.","- Hovering the Edit icon shows tooltip: ""Change duration, location or description"".
- Clicking opens an ""Edit [Session type name]"" popup overlaid on the Book Session popup.
- Popup message: ""Changes apply to this session only.""
- Session type info (Duration, Location, Description) is auto-populated.
- ""Apply"" button is disabled by default.
- CTA buttons: ""Cancel"" | ""Apply""."
US10-18,Customize session type — Apply changes and verify summary update,US10 / AC2,"1. Open ""Book a session"" popup, select a session type, click ""Edit"" icon.
2. Modify Duration, Location, and/or Description.
3. Verify Apply button state.
4. Click ""Apply"".
5. Verify session type summary.","Edit popup open with auto-populated session type values.","- Apply button becomes enabled after any value is changed.
- Clicking Apply closes the Edit popup.
- Session type summary section on Book Session popup shows the new values.
- Book Session popup remains open for coach to continue booking."
US10-19,Customize session type — Cancel and X icon discard changes,US10 / AC2,"1. Open ""Book a session"" popup, select a session type, click ""Edit"" icon.
2. Modify a value in the Edit popup.
3. Click ""Cancel"".
4. Verify Book Session popup and session type summary.
5. Repeat steps 1–3 using the ""x"" icon instead.","Edit popup open with modified value.","- Clicking Cancel closes the Edit popup.
- Session type summary on Book Session popup remains unchanged (original values).
- Clicking x icon produces the same result.
- Book Session popup is displayed normally."
US10-20,AC2.1 — Session type with In-person: all data provided,US10 / AC2.1,"1. Open ""Book a session"" popup.
2. Select a session type with In-person location, Address provided, Description provided.
3. Verify summary section.","Session type: In-person location, address = ""123 Main St"", description = ""Strength training"".","- Summary section displays address and description as usual.
- No ""Add address"" or ""Add description"" hyperlinks shown."
US10-21,AC2.1 — Session type with In-person: no address; add address flow,US10 / AC2.1,"1. Open ""Book a session"" popup.
2. Select a session type with In-person location, no address, description provided.
3. Verify summary section.
4. Click ""Add address"" hyperlink.
5. Verify input appears.","Session type: In-person, address = NULL, description = ""Yoga session"".","- Summary shows ""Add address"" hyperlink button and the description.
- Clicking ""Add address"" replaces the hyperlink with a text input for address.
- Description continues to display as usual."
US10-22,AC2.1 — Session type with In-person: no description; add description flow,US10 / AC2.1,"1. Open ""Book a session"" popup.
2. Select a session type with In-person location, no description (address may or may not be provided).
3. Verify summary section.
4. Click ""Add description"" hyperlink.
5. Verify input appears.","Session type: In-person, description = NULL.","- Summary shows ""Add description"" hyperlink button.
- Clicking ""Add description"" opens a text input for description."
