ID,Test Scenarios,Empty column,Items for Pivot Table,Step,Test Data,Expected
,US10. Book a session,,,,,
US10-1,Open Book a Session popup via CTA button and verify default prefill,,US10 / AC1,"1. Navigate to the Calendar page on the Booking feature.
2. Click the ""Book a session"" CTA button.
3. Verify the popup appears and the background is dimmed.
4. Verify all fields and their default values.",,"- ""Book a session"" popup is displayed.
- Background calendar is dimmed.
- Focus is trapped inside the modal.
- Popup includes: Trainer (disabled), Client, Start Date, Start Time, Type, Name, Duration, Location, Description, Add note to client, ""Book Session"" and ""Cancel"" buttons, and Close icon.
- Trainer field is disabled and defaults to the Workspace Owner.
- Start Date defaults to today.
- Start Time defaults to 7:00 AM.
- Location defaults to ""In-person"".
- Duration defaults to 30 min."
US10-2,Open Book a Session popup via time slot click on Day view and verify prefill,,US10 / AC1,"1. Navigate to the Calendar page, ensure Day view is selected.
2. Click a time slot (e.g., 6 AM–7 AM).
3. Verify the popup opens with prefilled values.",Clicked date: today. Clicked slot: 6 AM–7 AM.,"- ""Book a session"" popup is displayed.
- Start Date is prefilled with the clicked date.
- Start Time is prefilled with 6 AM (start hour of the clicked slot).
- Trainer is disabled and defaults to Workspace Owner.
- Location defaults to ""In-person"".
- Duration defaults to 30 min."
US10-3,Open Book a Session popup via time slot click on Month view and verify prefill,,US10 / AC1,"1. Navigate to the Calendar page, ensure Month view is selected.
2. Click a date cell (e.g., March 15, 2026).
3. Verify the popup opens with prefilled values.",Clicked date: March 15 2026.,"- ""Book a session"" popup is displayed.
- Start Date is prefilled with March 15, 2026.
- Start Time defaults to 7:00 AM (no time slot info from Month view).
- Focus is trapped inside the modal."
US10-4,Client field — searchable dropdown displays active clients only,,US10 / AC2,"1. Open the Book a Session popup.
2. Click the Client field.
3. Verify the dropdown appears with hover state.
4. Scroll to verify lazy loading.
5. Verify excluded client statuses are not shown.",Workspace has clients in statuses: active, Pending, Archived, Waiting Activation.,"- Dropdown is displayed with a searchable input and hover state.
- Only clients NOT at status Pending, Archived, or Waiting Activation are shown.
- Clients are sorted alphabetically by name.
- First 20 clients are loaded; scrolling loads the next 20.
- Each client item shows: Profile image, Client name, Client email."
US10-5,Client field — search by name and email with debounce,,US10 / AC2,"1. Open the Book a Session popup and click the Client field.
2. Type a partial client name in the search box; wait 200ms.
3. Verify matching results appear.
4. Clear and type a partial email; wait 200ms.
5. Verify matching results appear.
6. Type a value that matches no client; wait 200ms.
7. Verify empty state.","Search value 1: partial name (e.g., ""John"").
Search value 2: partial email (e.g., ""john@"").
Search value 3: ""zzznomatch"".",- Typing triggers search after ~200ms debounce.
- Results show only clients matching the typed name or email.
- When no match: blank dropdown with message ""No clients found."" is displayed.
US10-6,Client field — selecting a client closes the dropdown,,US10 / AC2,"1. Open the Book a Session popup and click the Client field.
2. Select any client from the dropdown.
3. Verify dropdown closes and client is set.",Active client: e.g. John Smith.,"- Dropdown closes after selecting a client.
- Selected client name is shown in the Client field."
US10-7,Start Date field — keyboard input and calendar picker interaction,,US10 / AC2,"1. Open the Book a Session popup.
2. Click the Start Date field; verify the current value is highlighted.
3. Type a date: ""Mar 15, 2026"".
4. Verify the calendar picker hovers on March 15 2026.
5. Press Enter and verify the value is applied and the picker closes.
6. Click the Start Date field again; hover on a date within range via the calendar picker; click it.
7. Verify the date is applied.",Date typed: ""Mar 15, 2026"". WS created year is within supported range.,"- Clicking the Start Date field highlights the entire current value.
- Typing ""Mar"" hovers the calendar picker on March 1 of the current year.
- Typing ""Mar 15, 2026"" hovers on March 15 2026.
- Pressing Enter applies the value and closes the picker.
- Clicking a valid date in the picker applies it to the field.
- Calendar picker allows past, present, and future dates within the supported range (WS creation date to 1 year from today)."
US10-8,Start Date field — out-of-range date shows stop icon,,US10 / AC2,"1. Open the Book a Session popup and click the Start Date field.
2. In the calendar picker, hover over a date outside the supported range (beyond 1 year from today or before WS creation date).
3. Verify stop icon appears.",Date outside range: 2 years from today.,"- A ""stop"" icon is displayed when hovering on a date outside the supported date range."
US10-9,Start Time field — keyboard input and dropdown interaction,,US10 / AC2,"1. Open the Book a Session popup.
2. Click the Start Time field; verify the current value is highlighted.
3. Type ""09:00 AM""; verify the matching option is visually highlighted in the dropdown.
4. Press Enter; verify the value is applied and dropdown closes.
5. Click the Start Time field again; click a 15-min increment slot (e.g., 9:15 AM) from the dropdown.
6. Verify the selected time is applied.",Time typed: ""09:00 AM"". Dropdown slots at 15-min increments.,"- Clicking the Start Time field highlights the entire current value.
- Typing a valid time highlights the matching option in the dropdown (hover state).
- Pressing Enter applies the typed value and closes the dropdown.
- Clicking a time slot from the dropdown applies it to the field.
- Dropdown shows time slots in 15-minute increments.
- Timezone label is shown for the coach's timezone."
US10-10,Name field — free text input,,US10 / AC2,"1. Open the Book a Session popup (no session type selected).
2. Click the Name field.
3. Type a session name.
4. Verify the name is accepted.",Session name: ""Morning Strength Training"".,"- Name field accepts free text input.
- The typed session name is displayed in the field."
US10-11,Duration field — dropdown selection,,US10 / AC2,"1. Open the Book a Session popup (no session type selected).
2. Click the Duration field.
3. Verify a dropdown list of time slots appears.
4. Select a duration (e.g., 60 min).
5. Verify it is applied.",Duration selected: 60 min.,"- Clicking Duration displays a dropdown list of available time slots.
- Selecting a duration closes the dropdown and applies the value to the field."
US10-12,"Add note to client — expand, input, and character limit behavior",,US10 / AC2,"1. Open the Book a Session popup.
2. Click the ""Add note to client"" button.
3. Verify the textbox appears with placeholder text and cursor is focused.
4. Type until 450 characters; verify the character counter appears.
5. Continue typing until 500 characters; verify input is blocked.",Text of exactly 450 chars (should show counter). Text of exactly 500 chars (should block input).,"- Clicking ""Add note to client"" button reveals the textbox.
- Placeholder text ""Add note to client"" is shown.
- Cursor is focused in the textbox.
- At 450 characters, the character counter is displayed.
- At 500 characters, input is blocked and no further characters can be entered."
US10-13,Type field — searchable dropdown lists active session types only,,US10 / AC2,"1. Open the Book a Session popup.
2. Click the Type field.
3. Verify only active session types appear (not archived).
4. Verify sorting, lazy loading, and item content.",Workspace has both active and archived session types.,"- Dropdown displays only active session types (team=current_workspace_id and is_archived=FALSE).
- Archived session types are NOT shown.
- Session types are sorted alphabetically by name.
- First 20 session types load; scrolling loads the next 20.
- Each option shows: Session type name, Duration, Location type (icon/text), Number of clients (1:1)."
US10-14,Type field — search by name and empty result state,,US10 / AC2,"1. Open the Book a Session popup and click the Type field.
2. Type a partial session type name; wait 200ms; verify matching results.
3. Type a value that matches no session type; wait 200ms; verify empty state.",Search value 1: partial name match. Search value 2: ""zzznomatch"".,"- Search triggers after ~200ms debounce.
- Only session types matching the search input are shown.
- When no match: empty dropdown with message ""No result found."" is displayed."
