ID,Test Scenarios,Empty,Items for Pivot Table,Step,Test Data,Expected
,"US3. As a coach, I want to create reusable session types so that I can quickly offer specific services to my clients with pre-defined durations and locations.",,,,,
US3-1,Open Create Session Type popup and verify defaults,,"US3 / AC1, AC2","1. Navigate to Booking > Session Types page
2. Click ""+Add New Session Type"" CTA button
3. Verify the Create Session Type popup opens
4. Verify default values of all fields",Logged in as Owner.,"- Create Session Type popup opens as overlay on Session Types page
- Name field is auto-focused with placeholder ""e.g. Personal Training session""
- 1:1 Session is selected by default with label ""1:1 training, check-in, etc.""
- Duration defaults to 30 min
- Location defaults to In-person
- Session type color defaults to Blue
- Description field is empty and optional"
US3-2,Group session option is disabled with Coming soon tag,,US3 / AC2,"1. Open Create Session Type popup
2. Observe the Group session option
3. Hover over Group session option
4. Attempt to click Group session",Logged in as Owner.,"- Group session displays primary label ""Group session"" and secondary label ""Class, webinars, etc.""
- ""Coming soon"" tag displayed on top right corner
- Cursor changes to block icon on hover
- Group session cannot be selected"
US3-3,Name field character counter and input block at limit,,US3 / AC2,"1. Open Create Session Type popup
2. Type 94 characters into Name field
3. Verify no counter is shown
4. Type 1 more character (95th)
5. Verify counter appears
6. Continue typing until 100 characters
7. Attempt to type beyond 100 characters","Name: 100-character string (e.g., repeat ""abcde"" 20 times).","- No counter visible at 94 characters
- Counter appears at 95 characters showing ""95/100""
- Counter updates as typing continues
- At 100 characters, counter shows ""100/100""
- Input cursor is blocked at 100 characters
- No additional characters can be typed"
US3-4,Name field auto-trims redundant spaces,,US3 / AC2,"1. Open Create Session Type popup
2. Type name with leading and trailing spaces
3. Click Create button","Name: ""  Personal Training  "".","- System trims leading and trailing spaces
- Saved name is ""Personal Training"""
US3-5,Select session type color from color picker,,US3 / AC2,"1. Open Create Session Type popup
2. Click the color indicator next to Name field
3. Verify color list order
4. Select ""Red"" from the list
5. Verify selected color updates",Logged in as Owner.,"- Color picker opens showing 10 colors in order: Red, Orange, Yellow, Green, Turquoise Cyan, Dark Cyan, Blue, Purple, Violet, Gray
- Blue shows checked icon as current default
- After selecting Red, checked icon moves to Red
- Color indicator next to Name field updates to Red"
US3-6,Duration dropdown selection,,US3 / AC2,"1. Open Create Session Type popup
2. Click the Duration field
3. Verify current value is highlighted (text selection)
4. Verify dropdown options with hover states
5. Select 60 min from dropdown",Logged in as Owner.,"- Duration field highlights entire current value ""30 min""
- Dropdown shows options: 15, 30, 45, 60, 90, 120 min with hover state
- 30 min has tick icon on left side (currently selected)
- After selecting 60 min, dropdown closes
- Duration field displays ""60 min""
- Tick icon moves to 60 min option"
US3-7,Duration keyboard input with matching highlight,,US3 / AC2,"1. Open Create Session Type popup
2. Click Duration field
3. Type ""45"" into the field
4. Verify matching option is highlighted
5. Press Enter key",Duration input: 45.,"- Typed value replaces currently selected value
- Dropdown shows 45 min option visually highlighted (same as hover)
- On Enter, input value 45 is applied to Duration field
- Dropdown closes"
US3-8,Duration custom numeric input via click outside,,US3 / AC2,"1. Open Create Session Type popup
2. Click Duration field
3. Type ""25"" (not in preset list)
4. Click outside the Duration field and dropdown",Duration input: 25.,"- Typed value replaces currently selected value
- No dropdown option is highlighted (25 not in list)
- On click outside, value 25 is applied to Duration field
- Dropdown closes"
US3-9,Location In-person with address and location note,,US3 / AC2,"1. Open Create Session Type popup
2. Verify In-person is selected by default
3. Click ""Add address (optional)"" and enter address
4. Click ""Add location note (optional)"" and enter note
5. Verify character limits","Address: ""123 Main Street, Suite 100, New York, NY 10001"".
Location note: ""Enter through the back door, 2nd floor"".","- In-person is selected by default
- ""Add address (optional)"" and ""Add location note (optional)"" links visible with hover state
- Address field accepts input up to 500 chars, blocks at limit
- Location note field accepts input up to 500 chars, blocks at limit"
