No.,US,AC,Step,Title,Expectation,Priority
1,"US10: As a coach, I can book a session for a client in the Workspace via ""Book Session"" CTA so that I can schedule a session with client",AC1: Entry Point,"1. Login as Owner/Admin
2. Navigate to Calendar page on Booking feature
3. Click ""Book a session"" CTA button
4. Verify popup",Book a session popup displayed,"- SHOULD display ""Book a session"" popup
- SHOULD dim background calendar
- SHOULD trap focus inside modal",Critical
2,,,,Popup structure and fields,"- SHOULD display popup name ""Book a session""
- SHOULD include fields: Trainer (disabled), Client (required), Start Date (required), Start Time (required), Type (optional), Name (required), Duration (required), Location (required), Description (optional), Add note to client (optional)
- SHOULD include CTA buttons: ""Book Session"" | ""Cancel""
- SHOULD include Close icon",High
3,,,"1. Click ""Book a session"" CTA button
2. Verify prefill values",CTA prefill defaults,"- SHOULD prefill Start date = Today
- SHOULD prefill Start time = 7:00 AM
- SHOULD set Trainer to Workspace Owner (disabled)
- SHOULD set Location default to ""In-person""
- SHOULD set Duration default to 30 min",High
4,,,"1. On Calendar page, double-click a blank space on Day/Week view time slot
2. Verify prefill values",Day/Week view time slot prefill,"- SHOULD prefill Start date = clicked date
- SHOULD prefill Start time = start hour of clicked time slot",High
5,,,"1. On Calendar page in Month view, click a blank day cell
2. Verify prefill values",Month view time slot prefill,- SHOULD prefill Start date = clicked date,Medium
6,,AC2: Session data input,"1. Open ""Book a session"" modal
2. Click Client field
3. Verify dropdown",Client dropdown opens with valid clients,"- SHOULD show searchable dropdown with hover state
- SHOULD display clients NOT at status Pending, Archived, or Waiting Activation
- SHOULD sort clients alphabetically by name
- SHOULD load first 20 clients; scrolling loads next 20",High
7,,,"1. Click Client field
2. Type a client name or email in the search box
3. Verify search results",Client search by name or email,"- SHOULD trigger search automatically after 200ms debounce
- SHOULD display only clients matching search input
- SHOULD show matching clients list",High
8,,,"1. Click Client field
2. Type value with no matching client
3. Verify dropdown",Client search no results,"- SHOULD display blank dropdown with message ""No clients found.""",Medium
9,,,"1. Open Client dropdown
2. Verify each client item",Client item display info,"- SHOULD display: Profile image, Client name, Client email",Medium
10,,,"1. Open Client dropdown
2. Select a client
3. Verify dropdown state",Select client closes dropdown,- SHOULD close dropdown after selection,High
11,,,"1. Click ""Start date"" field
2. Verify field behavior",Start Date field click behavior,"- SHOULD highlight entire current value (text selection)
- SHOULD open date picker with hover state
- SHOULD highlight currently selected date as selected state in date picker",High
12,,,"1. Click ""Start date"" field
2. Type a valid date in format mmm dd, yyyy
3. Verify hover on calendar picker",Start Date typing hovers calendar,"- SHOULD hover the matching date on the calendar picker as value is typed
- Given only mmm typed: hover on 1st day of that month of current year
- Given mmm invalid: keep hover on previous date
- Given dd typed: hover on that date of selected month
- Given yyyy typed: hover on that date of selected year",Medium
13,,,"1. Type date in Start Date field
2. Press Enter or click outside field and picker
3. Verify result",Start Date confirmed on Enter / click outside,"- SHOULD apply input value to Start Date field
- SHOULD close calendar picker",High
14,,,"1. Open date picker in Start Date
2. Hover on a date outside supported range
3. Verify",Out-of-range date hover shows stop icon,"- SHOULD display ""stop"" icon on dates outside supported range (WS creation date up to 1 year from current date)",Medium
15,,,"1. Click ""Start time"" field
2. Verify field behavior",Start Time field click behavior,"- SHOULD highlight entire current value (text selection)
- SHOULD display time slots in 15-minute increments with hover state
- SHOULD display coach's timezone",High
16,,,"1. Type a value into Start Time field matching an available option
2. Verify dropdown",Start Time typing highlights matching option,- SHOULD visually highlight matching option in dropdown (hover state),Medium
17,,,"1. Type value into Start Time field
2. Press Enter or click outside field and dropdown
3. Verify result",Start Time confirmed on Enter / click outside,"- SHOULD apply input value to Start Time field
- SHOULD close dropdown",High
18,,,"1. Click Name field
2. Type a session name
3. Verify",Name field allows text input,- SHOULD allow inputting session name,High
19,,,"1. Click Duration field
2. Verify dropdown",Duration dropdown opens,- SHOULD display time slots in a dropdown list,High
20,,,"1. Click ""Add note to client"" button
2. Verify textbox appears",Add note to client textbox displayed,"- SHOULD display textbox with placeholder ""Add note to client""
- SHOULD focus cursor in textbox
- SHOULD enforce 500 character limit (block input at 500)
- SHOULD show character counter when input reaches 450 characters",Medium
21,,,"1. Click Type field
2. Verify dropdown",Type dropdown shows active session types,"- SHOULD display searchable list with hover state
- SHOULD show only active session types (team = current WS, is_archived = FALSE)
- SHOULD NOT show archived session types
- SHOULD sort alphabetically by name
- SHOULD load first 20; scrolling loads next 20
- Each option SHOULD display: Session type name, Duration, Location type, Number of clients (1:1)",High
